epoch;accuracy;loss;val_accuracy;val_loss
0;0.908592164516449;0.8315462470054626;0.9040499925613403;0.7630295753479004
1;0.91535484790802;0.6734883785247803;0.9068583250045776;0.7328124046325684
2;0.9175909757614136;0.6309705376625061;0.908133327960968;0.7216946482658386
3;0.9188994765281677;0.6072729825973511;0.9090166687965393;0.7185479402542114
4;0.9200519919395447;0.5802310705184937;0.9087416529655457;0.7236424088478088
5;0.9211026430130005;0.5568048357963562;0.9090750217437744;0.715140700340271
6;0.9218243360519409;0.5452759861946106;0.9092249870300293;0.7199633121490479
7;0.9227253198623657;0.528632640838623;0.9092000126838684;0.7185537815093994
8;0.9235961437225342;0.5140677094459534;0.9096666574478149;0.721123456954956
9;0.924415647983551;0.5049554109573364;0.9089000225067139;0.7331849336624146
