epoch;accuracy;loss;val_accuracy;val_loss
0;0.9063360095024109;0.9409970045089722;0.9269999861717224;0.5889489650726318
1;0.9129213094711304;0.7068690061569214;0.9311000108718872;0.5300800800323486
2;0.9156026840209961;0.6680310964584351;0.9328666925430298;0.5029991269111633
3;0.9170293211936951;0.6370182037353516;0.9326666593551636;0.5168663263320923
4;0.9177169799804688;0.6322839260101318;0.9351666569709778;0.47437402606010437
0;0.9188773036003113;0.6166231036186218;0.9347666501998901;0.47568950057029724
1;0.9193170070648193;0.6036713123321533;0.9367666840553284;0.452426552772522
2;0.9203323125839233;0.5749949812889099;0.9385666847229004;0.4311034679412842
3;0.921238362789154;0.5541238188743591;0.938966691493988;0.40902239084243774
4;0.9223753213882446;0.5292794704437256;0.9401666522026062;0.3946273624897003
5;0.9234566688537598;0.5135965943336487;0.9418333172798157;0.38132038712501526
6;0.924247682094574;0.5052878260612488;0.9422666430473328;0.36937791109085083
7;0.9255996942520142;0.48431599140167236;0.942633330821991;0.3620731830596924
8;0.9267976880073547;0.4678118824958801;0.9433000087738037;0.35044875741004944
9;0.9277653098106384;0.4573936462402344;0.9442333579063416;0.34033963084220886
