epoch;accuracy;loss;val_accuracy;val_loss
0;0.909291684627533;0.8385562300682068;0.9049000144004822;0.7666398882865906
1;0.9156860113143921;0.6742069721221924;0.9074333310127258;0.7349663376808167
2;0.9177243113517761;0.6374311447143555;0.9077666401863098;0.720872700214386
3;0.9191198348999023;0.6074023842811584;0.9085166454315186;0.713134765625
4;0.9201976656913757;0.581296443939209;0.9085333347320557;0.7110065221786499
5;0.9211220145225525;0.5595113635063171;0.909250020980835;0.7074843049049377
6;0.9218724966049194;0.5478044152259827;0.9091833233833313;0.7115505933761597
7;0.9227731823921204;0.5301439166069031;0.9092833399772644;0.7113675475120544
8;0.9238451719284058;0.5117010474205017;0.909683346748352;0.7121917009353638
9;0.9243696928024292;0.5108893513679504;0.9089000225067139;0.7195772528648376
0;0.9085768461227417;0.8354050517082214;0.90420001745224;0.7598167657852173
1;0.9153536558151245;0.6728960871696472;0.9065750241279602;0.7320886850357056
2;0.9177721738815308;0.6298869252204895;0.908050000667572;0.7197921276092529
3;0.9190688133239746;0.6068500876426697;0.9090583324432373;0.7113656997680664
4;0.9202476739883423;0.577144980430603;0.9089750051498413;0.7123407125473022
5;0.9211854934692383;0.5558497309684753;0.909500002861023;0.713353157043457
6;0.9222111701965332;0.5357058644294739;0.909291684627533;0.7164191007614136
7;0.9234013557434082;0.5151546597480774;0.9098749756813049;0.7174481749534607
8;0.9244598150253296;0.5005255341529846;0.909208357334137;0.7228969931602478
9;0.9249504804611206;0.49978724122047424;0.9095083475112915;0.7254033088684082
